"Carin Leon, Grupo Frontera"
"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar"
"Sog, Ryan Castro, Peso Pluma"
"Mc Pedrinho, DJ 900"
Post Malone
Karol G
Troye Sivan
"Offset, JID"
NewJeans
Taylor Swift
Billie Eilish
Natanael Cano
The Weeknd
Morgan Wallen
"WizKid, Toian, Metro Boomin, Don Toliver, Beam"
"Kendrick Lamar, Beth Gibbons"
Morgan Wallen
"RM, Colde"
Taylor Swift
Kendrick Lamar
"Future, Lil Uzi Vert, Metro Boomin"
The Weeknd
Kendrick Lamar
Jung Kook
"Jasiel Nuï¿½ï¿½ez, Peso P"
Taylor Swift
Taylor Swift
"James Blake, Metro Boomin"
"Mc Livinho, DJ Matt D"
Ed Sheeran
Kendrick Lamar
The Weeknd
Kendrick Lamar
"Semicenk, Doï¿½ï¿½u"
Maria Becerra
"Lil Durk, Morgan Wallen"
"Taylor Swift, Ice Spice"
"Yandel, Feid"
Shubh
SZA
Future
"Mambo Kingz, DJ Luian, Anuel Aa"
SZA
"Halsey, Suga"
Taylor Swift
"Peso Pluma, Grupo Frontera"
NF
Kendrick Lamar
KALUSH
BIGBANG
The Weeknd
Feid
"Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain"
"Rauw Alejandro, Bizarrap"
Sam Ryder
"Gunna, Lil Baby"
"Junior H, Peso Pluma"
Morgan Wallen
SZA
"Kendrick Lamar, Beyoncï¿"
SZA
"Feid, Mora, Saiko, Quevedo"
Peggy Gou
"Nicky Jam, Feid"
"Ayparia, unxbected"
Quevedo
NewJeans
"Tyler, The Creator"
"Kendrick Lamar, Tanna Leone"
"Morgan Wallen, Eric Church"
"Lana Del Rey, Taylor Swift"
"21 Savage, Gunna"
"Quevedo, Jhayco"
"Tainy, Bad Bunny"
Kendrick Lamar
SZA
The Weeknd
"Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya"
"Nicki Minaj, Lil Baby"
"Eminem, Dr. Dre"
"Nicki Minaj, Aqua, Ice Spice"
SZA
Stray Kids
Chanel
"Rauw Alejandro, Bizarrap"
Melanie Martinez
SZA
Jack Black
Taylor Swift
"Kendrick Lamar, Taylour Paige"
Treyce
"Metro Boomin, Coi Leray"
"Abhijay Sharma, Riar Saab"
SiM
"Ludwig Goransson, Foudeqush"
Kendrick Lamar
